"Variant id","Variant title",SKU,Barcode,"Product id","Product title","Product link",Vendor,Price,"Compare at price","Inventory Item ID","Cost per item","Total Variant Inventory Qty",Published
5419843420219,"Carton (10 bars)",WS10,853982004302,504580112443,"10 Bar Mixed Pack",https://pickybarsb2b.com/products/10-bar-mixed-pack-1,"The Whole Shebang",15.77,"15.77 USD",5422563622971,,270,active
5419844501563,"Single Cup",BC-C1,,504580407355,"Can't Beet Chocolate Pop-Up Cup",https://pickybarsb2b.com/products/cant-beet-chocolate-2,"Beet, Cacao, Chia Seeds & Almond",2.09,"2.09 USD",5422564737083,,882,active
40614569410713,"Master Case (36 Cups)",BC-C36,,504580407355,"Can't Beet Chocolate Pop-Up Cup",https://pickybarsb2b.com/products/cant-beet-chocolate-2,"Beet, Cacao, Chia Seeds & Almond",69.97,"69.97 USD",42709639233689,,-8,active
5419845910587,"Carton (10 bars)",FN10,853982004272,504580735035,"Ah, Fudge Nuts! [10-bar carton]",https://pickybarsb2b.com/products/ah-fudge-nuts,"Chocolate & Peanut Butter",15.77,"15.77 USD",5422566146107,,-4120,active
5419846074427,"Carton (10 bars)",BB10,853982004234,504580767803,"Blueberry Boomdizzle [10 bar carton]",https://pickybarsb2b.com/products/blueberry-boomdizzle,"Blueberries, Almonds & Vanilla",15.77,"15.77 USD",5422566309947,,519,active
40660346241177,"10 Bars Cartoned",AA10,,504581095483,"All-in Almond [ 10 Bar Carton ]",https://pickybarsb2b.com/products/all-in-almond,"Almonds, Apricots & Chocolate Chips",15.77,"15.77 USD",42755470983321,,9899,active
5419847548987,"Carton (10 Bars)",CH10,853982004364,504581128251,"Chai And Catch Me [10 bar carton]",https://pickybarsb2b.com/products/chai-and-catch-me,"Almonds, Ginger & Cardamom",15.77,"15.77 USD",5422567784507,,8848,active
40660344406169,"10 bars (cartoned)",CR10,,504581324859,"Cinnamon Roll'n [ 10 Bar Carton ]",https://pickybarsb2b.com/products/cookie-doughpness-1,"Raisins, Walnuts & Cinnamon",15.77,"15.77 USD",42755469082777,,-653,active
5419849744443,"Carton (10 bars)",LN10,853982004050,504581718075,"Lauren's Mega Nuts [10-bar carton]",https://pickybarsb2b.com/products/laurens-mega-nuts,"Peanut Butter, Fruit & Honey",15.77,"15.77 USD",5422569979963,,-2710,active
5419850498107,"Single Cup",DA-C1,,504581980219,"How ‘bout Dem Apples? Pop-Up Cup",https://pickybarsb2b.com/products/how-bout-dem-apples-2,"Apple, Cinnamon, Chia Seeds & Ginger",2.09,"2.09 USD",5422570733627,,-737,active
40614527828121,"Master Case (36 Cups)",DA-C36,,504581980219,"How ‘bout Dem Apples? Pop-Up Cup",https://pickybarsb2b.com/products/how-bout-dem-apples-2,"Apple, Cinnamon, Chia Seeds & Ginger",69.97,"69.97 USD",42709597651097,,-11,active
5419850596411,"Carton (10 bars)",MW10,853982004296,504582012987,"Moroccan Your World [10 pack carton]",https://pickybarsb2b.com/products/moroccan-your-world-1,"Turmeric, Ginger & Pistachios",15.77,"15.77 USD",5422570831931,,756,active
5419851284539,"Carton (10 bars)",NS10,853982004074,504582242363,"Need for Seed [10 pack carton]",https://pickybarsb2b.com/products/need-for-seed,"Sunflower Butter, Honey & Chocolate",15.77,"15.77 USD",5422571520059,,321,active
5419852038203,"Carton (10 bars)",SC10,853982004067,504582504507,"Smooth Caffeinator [10 Bar Carton]",https://pickybarsb2b.com/products/smooth-caffeinator,"Hazelnuts, Chocolate & Coffee",15.77,"15.77 USD",5422572273723,,-576,active
5421295534139,"Single Bag",BC-M1,,505049186363,"Can't Beet Chocolate",https://pickybarsb2b.com/products/cant-beet-chocolate-5,"Beet, Cacao, Chia Seeds & Almond",9.60,"9.60 USD",5424125771835,,-209,active
37865160081561,"Master Case (18 Bags)",BC-MC,,505049186363,"Can't Beet Chocolate",https://pickybarsb2b.com/products/cant-beet-chocolate-5,"Beet, Cacao, Chia Seeds & Almond",172.70,"172.70 USD",39888859201689,,-2,active
5421295599675,"Single Bag",DA-M1,,505049251899,"How ‘bout Dem Apples?",https://pickybarsb2b.com/products/how-bout-dem-apples-5,"Apple, Cinnamon, Chia Seeds & Ginger",9.60,"9.60 USD",5424125837371,,376,active
37865162801305,"Master Case (18 Bags)",DA-MC,,505049251899,"How ‘bout Dem Apples?",https://pickybarsb2b.com/products/how-bout-dem-apples-5,"Apple, Cinnamon, Chia Seeds & Ginger",172.70,"172.70 USD",39888861921433,,499,active
18577039261755,,"POP Box",,1876288274491,"POP Box",https://pickybarsb2b.com/products/pop-box,"Picky Bars",0.00,"0.00 USD",18871684333627,,-2,active
21143789338683,"Single bag",SM-M1,853982004098,2274684239931,"Sassy Molassy Granola",https://pickybarsb2b.com/products/sassy-molassy-granola,"Ginger, Molasses, Goji Berries, Coconut & Seeds",5.12,"5.12 USD",21815585374267,,-838,active
37865195700377,"Master Case (18 Bags)",SM-MC,,2274684239931,"Sassy Molassy Granola",https://pickybarsb2b.com/products/sassy-molassy-granola,"Ginger, Molasses, Goji Berries, Coconut & Seeds",89.01,"89.01 USD",39888894820505,,-6,active
21143789404219,"Single bag",PBJ-M1,853982004975,2274684272699,"PB&J All Day Granola",https://pickybarsb2b.com/products/pb-j-all-day-1,"Peanut Butter, Berries & Cashews",5.12,"5.12 USD",21815585439803,,-1250,active
37865193111705,"Master Case (24 Bags)",PBJ-MC,,2274684272699,"PB&J All Day Granola",https://pickybarsb2b.com/products/pb-j-all-day-1,"Peanut Butter, Berries & Cashews",118.68,"118.68 USD",39888892231833,,-8,active
37864946466969,"Carton (10 bars)",MC10,,6104794923161,"Mint Condition [Carton (10 bars)]",https://pickybarsb2b.com/products/mint-condition-10-bar-carton,"Picky Bars",15.77,"15.77 USD",39888645521561,,-603,active
37865012920473,,CMDrizzle,,6104808259737,"Drizzle- Almonds, Cinnamon, & Maca 6.5oz",https://pickybarsb2b.com/products/drizzle-almonds-cinnamon-maca-6-5oz,"Picky Bars",15.99,"15.99 USD",39888711975065,,481,active
37865112928409,"Bulk Bag (8 Servings)",TMF-M1,,6104826871961,"Trail Mix Fix Oatmeal",https://pickybarsb2b.com/products/copy-of-cant-beet-chocolate-single-bag,"Picky Bars",9.60,"9.60 USD",39888812048537,,235,active
37865153593497,"Master Case (18 Bags)",TMF-MC,,6104826871961,"Trail Mix Fix Oatmeal",https://pickybarsb2b.com/products/copy-of-cant-beet-chocolate-single-bag,"Picky Bars",172.70,"172.70 USD",39888852713625,,-5,active
37865196650649,"Single bag",COW-M1,,6104842666137,"Call of the Wild Blueberry (Grain-free)",https://pickybarsb2b.com/products/copy-of-sassy-molassy-granola,"Picky Bars",7.20,"7.20 USD",39888895770777,,47,active
37865196683417,"Master Case (18 Bags)",COW-MC,,6104842666137,"Call of the Wild Blueberry (Grain-free)",https://pickybarsb2b.com/products/copy-of-sassy-molassy-granola,"Picky Bars",129.50,"129.50 USD",39888895803545,,48,active
37865226469529,"Single bag",AC-M1,,6104847351961,"Ready to Rumble Apple Crumble",https://pickybarsb2b.com/products/copy-of-call-of-the-wild-blueberry-grain-free,"Picky Bars",6.00,"6.00 USD",39888925589657,,-537,active
37865226502297,"Master Case (18 Bags)",AC-MC,,6104847351961,"Ready to Rumble Apple Crumble",https://pickybarsb2b.com/products/copy-of-call-of-the-wild-blueberry-grain-free,"Picky Bars",107.90,"107.90 USD",39888925622425,,-1,active
40614589431961,"Single Cup",TMF-C1,,6923258953881,"Trail Mix Fix Pop-Up Cup",https://pickybarsb2b.com/products/trail-mix-fix-pop-up-cup,"Apple, Cinnamon, Chia Seeds & Ginger",2.09,"2.09 USD",42709659254937,,-219,active
40614589464729,"Master Case (36 Cups)",TMF-C36,,6923258953881,"Trail Mix Fix Pop-Up Cup",https://pickybarsb2b.com/products/trail-mix-fix-pop-up-cup,"Apple, Cinnamon, Chia Seeds & Ginger",69.97,"69.97 USD",42709659287705,,-5,active
